"","dynamicColors","mergedColors"
"TFDP3","green","green"
"TFEB","magenta","magenta"
"TFEC","magenta","magenta"
"TFF1","brown","brown"
"TFF2","grey","grey"
"TFF3","brown","brown"
"TFPI2","red","magenta"
"TFPI","greenyellow","greenyellow"
"TFPT","yellow","yellow"
"TFR2","green","green"
"TFRC","green","green"
"TG","grey","grey"
"TGFA","pink","pink"
"TGFB1","magenta","magenta"
"TGFB1I1","black","black"
"TGFB2","black","black"
"TGFB3","black","black"
"TGFBI","black","black"
"TGFBR1","black","black"
"TGFBR2","greenyellow","greenyellow"
"TGFBR3","greenyellow","greenyellow"
"TGFBRAP1","turquoise","turquoise"
"TGIF2","green","green"
"TGM1","pink","pink"
"TGM2","red","magenta"
"TGM3","brown","brown"
"TGM4","grey","grey"
"TGM5","pink","pink"
"TGOLN2","turquoise","turquoise"
"TGS1","cyan","cyan"
"TH","grey","grey"
"THAP10","blue","blue"
"THAP2","yellow","yellow"
"THAP3","turquoise","turquoise"
"THAP5","blue","blue"
"THAP7","turquoise","turquoise"
"THAP8","yellow","yellow"
"THAP9","turquoise","turquoise"
"THBD","greenyellow","greenyellow"
"THBS1","black","black"
"THBS2","black","black"
"THBS3","blue","blue"
"THBS4","tan","tan"
"THEG","grey","grey"
"THEM4","grey","grey"
"THEM5","pink","pink"
"THEMIS","red","magenta"
"THNSL1","grey","grey"
"THNSL2","grey","grey"
"THOC1","grey","grey"
"THOC3","green","green"
"THOC5","blue","blue"
"THOC6","purple","purple"
"THOP1","yellow","yellow"
"THPO","green","green"
"THRA","green","green"
"THRB","blue","blue"
"THRSP","salmon","salmon"
"THSD1","greenyellow","greenyellow"
"THSD4","brown","brown"
"THSD7A","tan","tan"
"THSD7B","tan","tan"
"THTPA","brown","brown"
"THUMPD1","blue","blue"
"THY1","black","black"
"THYN1","turquoise","turquoise"
"TIA1","grey","grey"
"TIAF1","turquoise","turquoise"
"TIAM1","grey","grey"
"TIAM2","pink","pink"
"TICAM1","yellow","yellow"
"TICAM2","magenta","magenta"
"TIE1","greenyellow","greenyellow"
"TIFA","pink","pink"
"TIFAB","red","magenta"
"TIGD1","blue","blue"
"TIGD2","brown","brown"
"TIGD3","tan","tan"
"TIGD4","blue","blue"
"TIGD5","yellow","yellow"
"TIGD6","brown","brown"
"TIGD7","grey","grey"
"TIGIT","red","magenta"
"TIMD4","magenta","magenta"
"TIMELESS","green","green"
"TIMM10","turquoise","turquoise"
"TIMM13","yellow","yellow"
"TIMM17A","green","green"
"TIMM17B","turquoise","turquoise"
"TIMM44","yellow","yellow"
"TIMM50","blue","blue"
"TIMM8A","green","green"
"TIMM8B","turquoise","turquoise"
"TIMP1","turquoise","turquoise"
"TIMP2","black","black"
"TIMP3","black","black"
"TIMP4","salmon","salmon"
"TINAGL1","pink","pink"
"TIPARP","blue","blue"
"TIPIN","green","green"
"TIRAP","turquoise","turquoise"
"TJAP1","yellow","yellow"
"TJP1","turquoise","turquoise"
"TJP2","turquoise","turquoise"
"TJP3","brown","brown"
"TK1","green","green"
"TK2","green","green"
"TKT","blue","blue"
"TKTL1","red","magenta"
"TLCD1","tan","tan"
"TLE1","brown","brown"
"TLE2","yellow","yellow"
"TLE3","brown","brown"
"TLE4","pink","pink"
"TLE6","purple","purple"
"TLL1","tan","tan"
"TLL2","black","black"
"TLN2","tan","tan"
"TLR10","red","magenta"
"TLR1","magenta","magenta"
"TLR2","magenta","magenta"
"TLR3","turquoise","turquoise"
"TLR4","magenta","magenta"
"TLR5","turquoise","turquoise"
"TLR6","magenta","magenta"
"TLR7","magenta","magenta"
"TLR8","magenta","magenta"
"TLR9","red","magenta"
"TLX1","brown","brown"
"TLX2","grey","grey"
"TM2D2","grey","grey"
"TM4SF1","pink","pink"
"TM4SF18","tan","tan"
"TM4SF19","magenta","magenta"
"TM4SF4","brown","brown"
"TM6SF1","magenta","magenta"
"TM6SF2","black","black"
"TM7SF2","purple","purple"
"TM7SF3","yellow","yellow"
"TM9SF2","turquoise","turquoise"
"TMBIM1","magenta","magenta"
"TMBIM4","brown","brown"
"TMBIM6","brown","brown"
"TMC1","grey","grey"
"TMC2","grey","grey"
"TMC3","green","green"
"TMC4","brown","brown"
"TMC5","brown","brown"
"TMC6","yellow","yellow"
"TMC7","grey","grey"
"TMC8","red","magenta"
"TMCC2","brown","brown"
"TMCC3","red","magenta"
"TMCO1","red","magenta"
"TMCO3","blue","blue"
"TMCO4","yellow","yellow"
"TMCO6","turquoise","turquoise"
"TMED1","yellow","yellow"
"TMED3","turquoise","turquoise"
"TMED5","turquoise","turquoise"
"TMED6","grey","grey"
"TMED7","blue","blue"
"TMED7-TICAM2","turquoise","turquoise"
"TMED8","brown","brown"
"TMED9","yellow","yellow"
"TMEFF1","pink","pink"
"TMEM100","salmon","salmon"
"TMEM101","purple","purple"
"TMEM102","yellow","yellow"
"TMEM104","yellow","yellow"
"TMEM106A","magenta","magenta"
"TMEM106B","blue","blue"
"TMEM106C","magenta","magenta"
"TMEM107","grey","grey"
"TMEM108","pink","pink"
"TMEM115","purple","purple"
"TMEM116","brown","brown"
"TMEM117","pink","pink"
"TMEM11","turquoise","turquoise"
"TMEM119","black","black"
"TMEM120A","turquoise","turquoise"
"TMEM120B","yellow","yellow"
"TMEM121","purple","purple"
"TMEM123","purple","purple"
"TMEM125","grey","grey"
"TMEM126A","turquoise","turquoise"
"TMEM126B","turquoise","turquoise"
"TMEM129","purple","purple"
"TMEM130","black","black"
"TMEM132A","blue","blue"
"TMEM132B","black","black"
"TMEM132C","salmon","salmon"
"TMEM132E","grey","grey"
"TMEM134","turquoise","turquoise"
"TMEM135","blue","blue"
"TMEM139","pink","pink"
"TMEM140","magenta","magenta"
"TMEM141","purple","purple"
"TMEM143","purple","purple"
"TMEM144","brown","brown"
"TMEM145","red","magenta"
"TMEM147","turquoise","turquoise"
"TMEM14A","grey","grey"
"TMEM14B","green","green"
"TMEM150B","magenta","magenta"
"TMEM150C","blue","blue"
"TMEM151A","grey","grey"
"TMEM151B","grey","grey"
"TMEM154","turquoise","turquoise"
"TMEM156","red","magenta"
"TMEM158","blue","blue"
"TMEM159","grey","grey"
"TMEM160","yellow","yellow"
"TMEM161A","yellow","yellow"
"TMEM161B","blue","blue"
"TMEM163","magenta","magenta"
"TMEM164","grey","grey"
"TMEM169","black","black"
"TMEM170A","purple","purple"
"TMEM170B","turquoise","turquoise"
"TMEM171","brown","brown"
"TMEM17","grey","grey"
"TMEM173","magenta","magenta"
"TMEM175","purple","purple"
"TMEM176A","magenta","magenta"
"TMEM176B","magenta","magenta"
"TMEM179B","turquoise","turquoise"
"TMEM181","turquoise","turquoise"
"TMEM182","purple","purple"
"TMEM184A","purple","purple"
"TMEM184B","grey","grey"
"TMEM184C","turquoise","turquoise"
"TMEM186","purple","purple"
"TMEM187","turquoise","turquoise"
"TMEM189","green","green"
"TMEM190","grey","grey"
"TMEM192","blue","blue"
"TMEM198","grey","grey"
"TMEM199","pink","pink"
"TMEM200A","black","black"
"TMEM200B","black","black"
"TMEM200C","pink","pink"
"TMEM201","blue","blue"
"TMEM204","greenyellow","greenyellow"
"TMEM205","purple","purple"
"TMEM208","turquoise","turquoise"
"TMEM209","yellow","yellow"
"TMEM213","pink","pink"
"TMEM215","black","black"
"TMEM216","blue","blue"
"TMEM217","pink","pink"
"TMEM218","green","green"
"TMEM219","purple","purple"
"TMEM220","red","magenta"
"TMEM222","turquoise","turquoise"
"TMEM223","turquoise","turquoise"
"TMEM229B","brown","brown"
"TMEM231","grey","grey"
"TMEM232","brown","brown"
"TMEM233","greenyellow","greenyellow"
"TMEM25","green","green"
"TMEM26","brown","brown"
"TMEM30A","yellow","yellow"
"TMEM30B","blue","blue"
"TMEM31","grey","grey"
"TMEM33","yellow","yellow"
"TMEM37","salmon","salmon"
"TMEM38A","brown","brown"
"TMEM38B","turquoise","turquoise"
"TMEM39B","blue","blue"
"TMEM40","pink","pink"
"TMEM41B","blue","blue"
"TMEM42","turquoise","turquoise"
"TMEM44","yellow","yellow"
"TMEM45A","black","black"
"TMEM45B","brown","brown"
"TMEM47","tan","tan"
"TMEM51","magenta","magenta"
"TMEM52","blue","blue"
"TMEM53","turquoise","turquoise"
"TMEM54","turquoise","turquoise"
"TMEM59","green","green"
"TMEM59L","black","black"
"TMEM61","grey","grey"
"TMEM62","brown","brown"
"TMEM63A","grey","grey"
"TMEM63B","red","magenta"
"TMEM63C","brown","brown"
"TMEM64","grey","grey"
"TMEM65","cyan","cyan"
"TMEM67","blue","blue"
"TMEM68","cyan","cyan"
"TMEM70","cyan","cyan"
"TMEM71","red","magenta"
"TMEM74","brown","brown"
"TMEM79","blue","blue"
"TMEM80","turquoise","turquoise"
"TMEM81","blue","blue"
"TMEM86A","magenta","magenta"
"TMEM86B","yellow","yellow"
"TMEM87A","blue","blue"
"TMEM87B","blue","blue"
"TMEM88","greenyellow","greenyellow"
"TMEM8A","purple","purple"
"TMEM91","green","green"
"TMEM92","black","black"
"TMEM9","turquoise","turquoise"
"TMEM97","green","green"
"TMEM98","black","black"
"TMF1","turquoise","turquoise"
"TMIE","blue","blue"
"TMIGD2","red","magenta"
"TMLHE","yellow","yellow"
"TMOD1","turquoise","turquoise"
"TMOD2","purple","purple"
"TMOD3","turquoise","turquoise"
"TMOD4","turquoise","turquoise"
"TMPO","green","green"
"TMPPE","turquoise","turquoise"
"TMPRSS13","grey","grey"
"TMPRSS2","pink","pink"
"TMPRSS3","grey","grey"
"TMPRSS4","grey","grey"
"TMPRSS5","pink","pink"
"TMPRSS6","brown","brown"
"TMPRSS7","brown","brown"
"TMPRSS9","grey","grey"
"TMSB10","blue","blue"
"TMSB15A","green","green"
"TMSB15B","green","green"
"TMTC1","tan","tan"
"TMTC2","turquoise","turquoise"
"TMTC3","turquoise","turquoise"
"TMTC4","grey","grey"
"TMUB1","yellow","yellow"
"TMUB2","purple","purple"
"TMX1","turquoise","turquoise"
"TMX4","grey","grey"
"TNC","black","black"
"TNF","red","magenta"
"TNFAIP2","magenta","magenta"
"TNFAIP3","red","magenta"
"TNFAIP6","black","black"
"TNFAIP8","red","magenta"
"TNFAIP8L1","grey","grey"
"TNFAIP8L2","magenta","magenta"
"TNFAIP8L3","grey","grey"
"TNFRSF10A","magenta","magenta"
"TNFRSF10B","magenta","magenta"
"TNFRSF10C","green","green"
"TNFRSF10D","pink","pink"
"TNFRSF11A","magenta","magenta"
"TNFRSF11B","tan","tan"
"TNFRSF12A","blue","blue"
"TNFRSF13B","red","magenta"
"TNFRSF13C","red","magenta"
"TNFRSF14","yellow","yellow"
"TNFRSF17","red","magenta"
"TNFRSF18","yellow","yellow"
"TNFRSF19","black","black"
"TNFRSF1B","magenta","magenta"
"TNFRSF21","pink","pink"
"TNFRSF25","red","magenta"
"TNFRSF4","red","magenta"
"TNFRSF6B","red","magenta"
"TNFRSF8","red","magenta"
"TNFRSF9","red","magenta"
"TNFSF10","grey","grey"
"TNFSF11","black","black"
"TNFSF12","green","green"
"TNFSF12-TNFSF13","magenta","magenta"
"TNFSF13","green","green"
"TNFSF13B","magenta","magenta"
"TNFSF14","red","magenta"
"TNFSF15","turquoise","turquoise"
"TNFSF18","red","magenta"
"TNFSF4","black","black"
"TNFSF8","magenta","magenta"
"TNFSF9","magenta","magenta"
"TNIK","turquoise","turquoise"
"TNIP2","yellow","yellow"
"TNIP3","red","magenta"
"TNK1","purple","purple"
"TNK2","purple","purple"
"TNKS1BP1","yellow","yellow"
"TNKS2","turquoise","turquoise"
"TNKS","turquoise","turquoise"
"TNMD","salmon","salmon"
"TNN","tan","tan"
"TNNC1","yellow","yellow"
"TNNC2","turquoise","turquoise"
"TNNI1","brown","brown"
"TNNI2","magenta","magenta"
"TNNI3","grey","grey"
"TNNI3K","blue","blue"
"TNNT1","grey","grey"
"TNNT2","blue","blue"
"TNNT3","greenyellow","greenyellow"
"TNPO1","blue","blue"
"TNR","grey","grey"
"TNRC18","purple","purple"
"TNRC6B","turquoise","turquoise"
"TNRC6C","brown","brown"
"TNS1","tan","tan"
"TNS3","turquoise","turquoise"
"TNS4","grey","grey"
"TNXB","greenyellow","greenyellow"
"TOB1","blue","blue"
"TOLLIP","yellow","yellow"
"TOM1","yellow","yellow"
"TOM1L1","blue","blue"
"TOM1L2","green","green"
"TOMM20","magenta","magenta"
"TOMM20L","grey","grey"
"TOMM40","blue","blue"
"TOMM40L","blue","blue"
"TOMM5","blue","blue"
"TOMM6","turquoise","turquoise"
"TOMM7","midnightblue","midnightblue"
"TOP1MT","yellow","yellow"
"TOP2A","green","green"
"TOP2B","turquoise","turquoise"
"TOP3B","yellow","yellow"
"TOPBP1","green","green"
"TOR1AIP1","blue","blue"
"TOR1AIP2","turquoise","turquoise"
"TOR2A","purple","purple"
"TOX2","red","magenta"
"TOX3","brown","brown"
"TOX","red","magenta"
"TP53","grey","grey"
"TP53AIP1","greenyellow","greenyellow"
"TP53BP1","blue","blue"
"TP53BP2","purple","purple"
"TP53I11","brown","brown"
"TP53I13","yellow","yellow"
"TP53I3","blue","blue"
"TP53INP1","brown","brown"
"TP53INP2","grey","grey"
"TP53TG3B","grey","grey"
"TP63","tan","tan"
"TP73","brown","brown"
"TPBG","brown","brown"
"TPCN1","green","green"
"TPCN2","turquoise","turquoise"
"TPD52","cyan","cyan"
"TPD52L1","grey","grey"
"TPH1","grey","grey"
"TPI1","blue","blue"
"TPK1","magenta","magenta"
"TPM1","black","black"
"TPM2","black","black"
"TPM4","black","black"
"TPMT","grey","grey"
"TPO","greenyellow","greenyellow"
"TPP1","magenta","magenta"
"TPP2","turquoise","turquoise"
"TPPP","brown","brown"
"TPPP3","purple","purple"
"TPR","turquoise","turquoise"
"TPRG1","brown","brown"
"TPRKB","turquoise","turquoise"
"TPRN","purple","purple"
"TPSAB1","tan","tan"
"TPSB2","tan","tan"
"TPSD1","tan","tan"
"TPSG1","brown","brown"
"TPST1","black","black"
"TPST2","magenta","magenta"
"TPT1","midnightblue","midnightblue"
"TPTE2","grey","grey"
"TPTE","grey","grey"
"TPX2","green","green"
"TRABD","yellow","yellow"
"TRADD","yellow","yellow"
"TRAF1","red","magenta"
"TRAF2","yellow","yellow"
"TRAF3","magenta","magenta"
"TRAF3IP2","brown","brown"
"TRAF3IP3","red","magenta"
"TRAF4","turquoise","turquoise"
"TRAF5","brown","brown"
"TRAF6","turquoise","turquoise"
"TRAF7","purple","purple"
"TRAIP","green","green"
"TRAK1","brown","brown"
"TRAK2","blue","blue"
"TRAM1","cyan","cyan"
"TRAM1L1","blue","blue"
"TRAM2","black","black"
"TRANK1","magenta","magenta"
"TRAP1","purple","purple"
"TRAPPC1","turquoise","turquoise"
"TRAPPC2L","turquoise","turquoise"
"TRAPPC4","turquoise","turquoise"
"TRAPPC5","yellow","yellow"
"TRAPPC6A","yellow","yellow"
"TRAPPC9","yellow","yellow"
"TRAT1","red","magenta"
"TRDMT1","pink","pink"
"TRDN","salmon","salmon"
"TREM1","magenta","magenta"
"TREM2","magenta","magenta"
"TREML1","magenta","magenta"
"TREML2","red","magenta"
"TRERF1","brown","brown"
"TREX1","turquoise","turquoise"
"TREX2","blue","blue"
"TRH","brown","brown"
"TRHDE","salmon","salmon"
"TRIB1","grey","grey"
"TRIB2","red","magenta"
"TRIB3","grey","grey"
"TRIL","grey","grey"
"TRIM11","turquoise","turquoise"
"TRIM14","lightcyan","lightcyan"
"TRIM16","red","magenta"
"TRIM16L","red","magenta"
"TRIM17","grey","grey"
"TRIM21","lightcyan","lightcyan"
"TRIM22","red","magenta"
"TRIM2","pink","pink"
"TRIM23","blue","blue"
"TRIM24","yellow","yellow"
"TRIM25","turquoise","turquoise"
"TRIM29","pink","pink"
"TRIM3","brown","brown"
"TRIM31","grey","grey"
"TRIM33","turquoise","turquoise"
"TRIM34","lightcyan","lightcyan"
"TRIM35","grey","grey"
"TRIM36","grey","grey"
"TRIM37","turquoise","turquoise"
"TRIM38","red","magenta"
"TRIM41","purple","purple"
"TRIM44","turquoise","turquoise"
"TRIM45","brown","brown"
"TRIM46","grey","grey"
"TRIM47","blue","blue"
"TRIM4","blue","blue"
"TRIM50","grey","grey"
"TRIM52","blue","blue"
"TRIM54","grey","grey"
"TRIM55","grey","grey"
"TRIM56","turquoise","turquoise"
"TRIM58","brown","brown"
"TRIM5","lightcyan","lightcyan"
"TRIM59","green","green"
"TRIM6","tan","tan"
"TRIM61","magenta","magenta"
"TRIM62","brown","brown"
"TRIM63","greenyellow","greenyellow"
"TRIM65","blue","blue"
"TRIM66","blue","blue"
"TRIM67","grey","grey"
"TRIM68","grey","grey"
"TRIM69","red","magenta"
"TRIM72","grey","grey"
"TRIM74","yellow","yellow"
"TRIM7","grey","grey"
"TRIM8","green","green"
"TRIM9","grey","grey"
"TRIML2","brown","brown"
"TRIO","turquoise","turquoise"
"TRIOBP","yellow","yellow"
"TRIP10","blue","blue"
"TRIP11","turquoise","turquoise"
"TRIP12","turquoise","turquoise"
"TRIP13","green","green"
"TRIP6","turquoise","turquoise"
"TRMT112","turquoise","turquoise"
"TRMT11","purple","purple"
"TRMT12","cyan","cyan"
"TRMT1","yellow","yellow"
"TRMT2A","yellow","yellow"
"TRMT2B","turquoise","turquoise"
"TRMT61A","yellow","yellow"
"TRMT6","green","green"
"TRMU","blue","blue"
"TRNP1","grey","grey"
"TRO","black","black"
"TROAP","green","green"
"TRPA1","grey","grey"
"TRPC1","tan","tan"
"TRPC3","black","black"
"TRPC4","tan","tan"
"TRPC6","tan","tan"
"TRPM2","magenta","magenta"
"TRPM3","tan","tan"
"TRPM4","purple","purple"
"TRPM5","grey","grey"
"TRPM6","pink","pink"
"TRPM7","turquoise","turquoise"
"TRPM8","brown","brown"
"TRPS1","blue","blue"
"TRPT1","yellow","yellow"
"TRPV1","purple","purple"
"TRPV2","magenta","magenta"
"TRPV3","brown","brown"
"TRPV4","pink","pink"
"TRPV5","grey","grey"
"TRPV6","blue","blue"
"TRRAP","turquoise","turquoise"
"TRUB1","turquoise","turquoise"
"TSC1","turquoise","turquoise"
"TSC22D1","tan","tan"
"TSC22D3","brown","brown"
"TSC22D4","yellow","yellow"
"TSC2","purple","purple"
"TSEN15","green","green"
"TSEN34","yellow","yellow"
"TSEN54","yellow","yellow"
"TSGA10","blue","blue"
"TSGA10IP","magenta","magenta"
"TSHR","red","magenta"
"TSHZ1","blue","blue"
"TSHZ2","tan","tan"
"TSHZ3","black","black"
"TSKS","red","magenta"
"TSKU","grey","grey"
"TSLP","greenyellow","greenyellow"
"TSNARE1","yellow","yellow"
"TSNAX","blue","blue"
"TSNAXIP1","brown","brown"
"TSPAN10","yellow","yellow"
"TSPAN1","brown","brown"
"TSPAN11","tan","tan"
"TSPAN12","grey","grey"
"TSPAN13","brown","brown"
"TSPAN15","brown","brown"
"TSPAN17","yellow","yellow"
"TSPAN18","black","black"
"TSPAN2","black","black"
"TSPAN3","grey","grey"
"TSPAN31","brown","brown"
"TSPAN32","red","magenta"
"TSPAN33","red","magenta"
"TSPAN4","yellow","yellow"
"TSPAN5","turquoise","turquoise"
"TSPAN6","pink","pink"
"TSPAN7","greenyellow","greenyellow"
"TSPAN8","grey","grey"
"TSPAN9","green","green"
"TSPO","blue","blue"
"TSPYL1","blue","blue"
"TSPYL2","green","green"
"TSPYL4","turquoise","turquoise"
"TSPYL5","pink","pink"
"TSR1","turquoise","turquoise"
"TSSC4","yellow","yellow"
"TSSK1B","green","green"
"TSSK3","grey","grey"
"TSSK4","turquoise","turquoise"
"TSSK6","purple","purple"
"TST","turquoise","turquoise"
"TSTA3","yellow","yellow"
"TSTD1","purple","purple"
"TSTD2","turquoise","turquoise"
"TTBK1","red","magenta"
"TTBK2","turquoise","turquoise"
"TTC12","green","green"
"TTC13","green","green"
"TTC14","blue","blue"
"TTC16","brown","brown"
"TTC17","turquoise","turquoise"
"TTC19","grey","grey"
"TTC21A","purple","purple"
"TTC21B","turquoise","turquoise"
"TTC22","pink","pink"
"TTC23","black","black"
"TTC23L","brown","brown"
"TTC24","red","magenta"
"TTC25","brown","brown"
"TTC26","turquoise","turquoise"
"TTC28","tan","tan"
"TTC29","brown","brown"
"TTC30A","blue","blue"
"TTC30B","blue","blue"
"TTC32","grey","grey"
"TTC33","turquoise","turquoise"
"TTC36","green","green"
"TTC3","turquoise","turquoise"
"TTC37","turquoise","turquoise"
"TTC38","grey","grey"
"TTC39A","brown","brown"
"TTC39B","turquoise","turquoise"
"TTC39C","blue","blue"
"TTC7A","brown","brown"
"TTC7B","magenta","magenta"
"TTC8","brown","brown"
"TTC9","brown","brown"
"TTC9B","grey","grey"
"TTF2","green","green"
"TTK","green","green"
"TTLL10","red","magenta"
"TTLL11","green","green"
"TTLL12","grey","grey"
"TTLL1","turquoise","turquoise"
"TTLL2","brown","brown"
"TTLL3","purple","purple"
"TTLL4","brown","brown"
"TTLL6","grey","grey"
"TTLL7","turquoise","turquoise"
"TTLL9","brown","brown"
"TTN","red","magenta"
"TTPA","grey","grey"
"TTYH1","pink","pink"
"TTYH2","red","magenta"
"TTYH3","magenta","magenta"
"TUB","pink","pink"
"TUBA1A","grey","grey"
"TUBA1B","green","green"
"TUBA1C","green","green"
"TUBA3C","brown","brown"
"TUBA3D","brown","brown"
"TUBA3E","brown","brown"
"TUBA4A","blue","blue"
"TUBA4B","brown","brown"
"TUBA8","blue","blue"
"TUBAL3","grey","grey"
"TUBB1","grey","grey"
"TUBB","green","green"
"TUBB2A","yellow","yellow"
"TUBB2B","pink","pink"
"TUBB3","blue","blue"
"TUBB6","pink","pink"
"TUBB8","yellow","yellow"
"TUBD1","turquoise","turquoise"
"TUBE1","grey","grey"
"TUBG1","green","green"
"TUBG2","purple","purple"
"TUBGCP3","turquoise","turquoise"
"TUBGCP4","turquoise","turquoise"
"TUBGCP5","turquoise","turquoise"
"TUBGCP6","yellow","yellow"
"TUFM","purple","purple"
"TUFT1","grey","grey"
"TULP1","blue","blue"
"TULP2","grey","grey"
"TULP4","turquoise","turquoise"
"TUSC1","turquoise","turquoise"
"TUSC2","purple","purple"
"TUSC3","grey","grey"
"TUT1","yellow","yellow"
"TWF1","blue","blue"
"TWF2","yellow","yellow"
"TWIST1","black","black"
"TWIST2","black","black"
"TWSG1","blue","blue"
"TXK","red","magenta"
"TXLNB","grey","grey"
"TXLNG","turquoise","turquoise"
"TXN2","turquoise","turquoise"
"TXN","turquoise","turquoise"
"TXNDC16","blue","blue"
"TXNDC17","turquoise","turquoise"
"TXNDC2","black","black"
"TXNDC5","pink","pink"
"TXNIP","greenyellow","greenyellow"
"TXNL4A","turquoise","turquoise"
"TXNL4B","blue","blue"
"TXNRD1","yellow","yellow"
"TXNRD2","yellow","yellow"
"TYMP","magenta","magenta"
"TYMS","green","green"
"TYRO3","green","green"
"TYROBP","magenta","magenta"
"TYRP1","grey","grey"
"TYSND1","yellow","yellow"
"TYW1B","grey","grey"
"TYW3","turquoise","turquoise"
"U2AF1","blue","blue"
"U2AF1L4","turquoise","turquoise"
"UACA","tan","tan"
"UAP1","grey","grey"
"UAP1L1","grey","grey"
"UBA52","midnightblue","midnightblue"
"UBA6","yellow","yellow"
"UBA7","magenta","magenta"
"UBASH3A","red","magenta"
"UBASH3B","pink","pink"
"UBD","red","magenta"
"UBE2C","green","green"
"UBE2E2","red","magenta"
"UBE2E3","pink","pink"
"UBE2F","turquoise","turquoise"
"UBE2H","turquoise","turquoise"
"UBE2J1","purple","purple"
"UBE2L6","lightcyan","lightcyan"
"UBE2M","yellow","yellow"
"UBE2Q2","turquoise","turquoise"
"UBE2QL1","black","black"
"UBE2S","green","green"
"UBE2T","green","green"
"UBE2V2","cyan","cyan"
"UBE2W","cyan","cyan"
"UBE3A","blue","blue"
"UBE4A","yellow","yellow"
"UBE4B","turquoise","turquoise"
"UBFD1","turquoise","turquoise"
"UBL3","blue","blue"
"UBL4B","red","magenta"
"UBL5","turquoise","turquoise"
"UBN2","turquoise","turquoise"
"UBQLN4","green","green"
"UBQLNL","grey","grey"
"UBR1","blue","blue"
"UBR2","turquoise","turquoise"
"UBR3","turquoise","turquoise"
"UBR4","turquoise","turquoise"
"UBR5","cyan","cyan"
"UBR7","blue","blue"
"UBTD1","yellow","yellow"
"UBTD2","blue","blue"
"UBXN10","brown","brown"
"UBXN11","purple","purple"
"UBXN1","yellow","yellow"
"UBXN2B","cyan","cyan"
"UBXN6","yellow","yellow"
"UBXN7","turquoise","turquoise"
"UBXN8","grey","grey"
"UCHL1","brown","brown"
"UCHL3","blue","blue"
"UCHL5","green","green"
"UCK2","green","green"
"UCKL1","yellow","yellow"
"UCN2","black","black"
"UCN","purple","purple"
"UCP2","red","magenta"
"UCP3","red","magenta"
"UEVLD","turquoise","turquoise"
"UFC1","turquoise","turquoise"
"UFSP1","yellow","yellow"
"UGCG","blue","blue"
"UGDH","brown","brown"
"UGGT1","turquoise","turquoise"
"UGGT2","turquoise","turquoise"
"UGT2B11","green","green"
"UGT2B15","brown","brown"
"UGT2B28","grey","grey"
"UGT2B4","grey","grey"
"UGT2B7","brown","brown"
"UGT3A2","grey","grey"
"UGT8","pink","pink"
"UHMK1","turquoise","turquoise"
"UHRF1","green","green"
"UHRF1BP1","turquoise","turquoise"
"UHRF1BP1L","turquoise","turquoise"
"ULBP1","brown","brown"
"ULBP2","brown","brown"
"ULBP3","brown","brown"
"ULK1","yellow","yellow"
"ULK2","blue","blue"
"ULK3","yellow","yellow"
"ULK4","brown","brown"
"UMOD","brown","brown"
"UMODL1","grey","grey"
"UNC119","turquoise","turquoise"
"UNC119B","turquoise","turquoise"
"UNC13A","grey","grey"
"UNC13B","turquoise","turquoise"
"UNC13C","grey","grey"
"UNC13D","red","magenta"
"UNC45B","red","magenta"
"UNC5A","grey","grey"
"UNC5B","black","black"
"UNC5C","tan","tan"
"UNC5CL","grey","grey"
"UNC80","brown","brown"
"UNC93B1","yellow","yellow"
"UNG","green","green"
"UNK","yellow","yellow"
"UNKL","purple","purple"
"UPB1","red","magenta"
"UPF3A","grey","grey"
"UPF3B","green","green"
"UPK1A","grey","grey"
"UPK2","blue","blue"
"UPK3A","grey","grey"
"UPK3B","yellow","yellow"
"UPP1","blue","blue"
"UPP2","grey","grey"
"UQCR10","turquoise","turquoise"
"UQCR11","turquoise","turquoise"
"UQCRB","cyan","cyan"
"UQCRC1","turquoise","turquoise"
"UQCRH","blue","blue"
"UQCRHL","blue","blue"
"UQCRQ","turquoise","turquoise"
"URB1","turquoise","turquoise"
"URB2","turquoise","turquoise"
"UROC1","blue","blue"
"UROS","turquoise","turquoise"
"USE1","yellow","yellow"
"USF1","turquoise","turquoise"
"USF2","yellow","yellow"
"USH1C","grey","grey"
"USH1G","green","green"
"USH2A","brown","brown"
"USHBP1","greenyellow","greenyellow"
"USP12","turquoise","turquoise"
"USP13","turquoise","turquoise"
"USP14","turquoise","turquoise"
"USP1","green","green"
"USP18","lightcyan","lightcyan"
"USP21","grey","grey"
"USP22","grey","grey"
"USP24","turquoise","turquoise"
"USP25","turquoise","turquoise"
"USP27X","grey","grey"
"USP28","turquoise","turquoise"
"USP2","grey","grey"
"USP30","blue","blue"
"USP31","turquoise","turquoise"
"USP32","turquoise","turquoise"
"USP34","turquoise","turquoise"
"USP35","brown","brown"
"USP37","turquoise","turquoise"
"USP38","turquoise","turquoise"
"USP43","grey","grey"
"USP44","tan","tan"
"USP45","turquoise","turquoise"
"USP46","turquoise","turquoise"
"USP49","turquoise","turquoise"
"USP51","turquoise","turquoise"
"USP53","turquoise","turquoise"
"USP54","turquoise","turquoise"
"USP6","grey","grey"
"USP6NL","purple","purple"
"USP8","turquoise","turquoise"
"USP9X","turquoise","turquoise"
"USPL1","turquoise","turquoise"
"UST","black","black"
"UTP14C","turquoise","turquoise"
